oekobaudatProcessUuid;oekobaudatDatastockUuid;oekobaudatDatastockName;productId;tBaustoffVersion;productName;eolCategoryId;eolCategoryName;eolScenarioUnbuiltReal;eolScenarioUnbuiltPotential;technologyFactor
f0da3c81-3912-4ea2-8e6b-bc9c789e859e;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;130;2024-Q4;HPL-Platte (High pressure Laminate);70;HPL;EV+;EV+;0.0
c4ddfdbc-ee2b-4dd5-a754-b317cf06470a;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;69;2024-Q4;XPS-DÃ¤mmstoff;40;XPS;EV-;RC+;0.25
2ad3b93b-b559-404e-8b63-99c69d472896;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;131;2024-Q4;HÃ¼ttensteine;71;HÃ¼ttenstein;RC-;RC-;1.0
6869f7c1-1b2b-4f30-afc9-823a0104f1d9;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;47;2024-Q4;Dampfbremse PE;16;KSTBahn;EV-;EV-;0.0
152ff22b-522e-400e-baee-812a9c6443d9;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;178;2024-Q4;Lacksysteme Holzfenster Grundierung weiÃ;88;Lacke (auf Holzuntergrund);EV-;EV-;0.0
a71e60a5-b64b-4715-ae8a-c8c8819149d2;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;316;2024-Q4;Transportbeton C25/30 - exkl. Bewehrung, Standard EoL;9;Beton Standard (ohne Bewehr.);RC+;RC+;1.0
dcfd896b-9b7d-42a5-b47b-3643a8870e6a;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;235;2024-Q4;Polycarbonatplatte;112;KSTPlatte (zB transparente Platten);EV-;EV-;0.0
f6861618-5a92-4c3a-94ba-9f7329b29662;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;14;2024-Q4;Bewehrungsstahl;10;Stahl - Bewehrung;CL+;CL+;1.0
0b87961e-ea66-4757-b483-229ece59cb97;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;270;2024-Q4;Schnittholz Kiefer ;6;Holz - massiv, naturbelassen;RC+;CL+;0.75
b960f95d-466b-4014-9565-64e51407a364;ca70a7e6-0ea4-4e90-a947-d44585783626;OBD_2024_I;244;2024-Q4;PUR/PIR DÃ¤mmstoff (32 kg/mÂ³);111;KSTDÃ¤mm (PUR, PIR);EB;SV;0.25
