productName,UUID,S0,S1,S2,S3,S4
FÃ¼nf-Schichtholzplatte,3489c0eb-415f-4dc8-8c2d-b276f6efebc6,0.02,0.015,0.995,0.985,0.005
Schotter 16/32,f4461491-586a-4770-9a04-716565e58c24,1.0,0.0,0.0,0.0,0.0
Furnierschichtholz (Laminated Veneer Lumber),27f4902c-8a26-4a87-b723-f4a650350781,0.385,0.12,0.76,0.645,0.2
Fassadenklinker,1a365e34-0b95-4c5c-973d-11a038eb7414,0.785,0.0,0.62,0.455,0.1
Grauguss Bauteil,b8a652dc-48f0-4bc5-b60c-caec8d576fa4,0.95,0.0,0.975,0.025,0.005
Stahl Feinblech (20Âµm bandverzinkt),800dc37d-c3a2-4b12-b14b-54f7bc775f47,0.88,0.0,0.95,0.025,0.005
Stahl Schmiedebauteil,f848bd34-ac63-4b06-8ff6-080d310e414f,0.95,0.0,0.975,0.025,0.005
Feuerverzinktes Stahlblech,717f4a1c-0df0-49e6-8169-528b50b01e56,0.88,0.0,0.95,0.025,0.005
Stahlprofil,755a481d-a74b-4ba0-b417-cc26767b2d50,0.95,0.0,0.975,0.025,0.005
Fensterglas einfach,dcf38066-e336-46a7-b0a8-b2453dd2872d,0.93,0.145,0.345,0.61,0.045
Gummi-Bodenbelag mit Schaumstoffbeschichtung EN 1816 (4 mm),665ebd38-a8b0-4f78-b627-b351cfaa2ae3,1.0,0.0,0.57,0.42,0.0
"Gummi-Bodenbelag profiliert EN 12199 (3,55 mm)",f5a8b0c6-0b46-4e1c-901b-643197c38ae2,1.0,0.0,0.57,0.42,0.0
Melaminharz-Schaum,5383d573-9730-4786-9fe5-15d5fab0ec5c,0.645,0.04,0.26,0.35,0.3
"Wasserdichte, flexible Schutzschicht unter keramischen BelÃ¤gen in Duschen u BÃ¤den",56251b2e-c726-476f-9eb2-4b4d8222c9cf,0.96,0.155,0.215,0.455,0.015
Voranstrich (Silikonharz),c7db9557-2928-435f-82e2-afcdcbc69715,0.965,0.15,0.46,0.405,0.015
Gussasphaltestrich,c7381cc7-53b7-427e-9c0b-c9edc4152602,0.995,0.125,0.97,0.765,0.07
